Commodity,Date,Farm,Atlanta,Chicago,Los Angeles,New York
Strawberries,2/25/2018,$1.50 ,$2.13 ,$3.03 ,$2.75 ,$2.74 
Romaine Lettuce,2/25/2018,$0.78 ,$1.79 ,$2.09 ,$1.47 ,$1.97 
Red Leaf Lettuce,2/25/2018,$0.44 ,$1.42 ,$1.75 ,$1.47 ,$1.65 
Potatoes,2/25/2018,$1.60 ,$3.97 ,$3.81 ,$3.99 ,$5.47 
Oranges,2/25/2018,$0.53 ,$1.60 ,$1.41 ,$1.32 ,$1.88 
Iceberg Lettuce,2/25/2018,$0.64 ,$0.99 ,$1.41 ,$1.34 ,$1.77 
Green Leaf Lettuce,2/25/2018,$0.56 ,$1.42 ,$1.71 ,$1.47 ,$1.57 
Celery,2/25/2018,$0.32 ,$1.37 ,$1.69 ,$1.94 ,$1.62 
Cauliflower,2/25/2018,$2.32 ,$2.49 ,$3.09 ,$3.78 ,$2.81 
Carrots,2/25/2018,$0.31 ,$1.22 ,$0.85 ,$0.99 ,$1.05 
Broccoli Crowns,2/25/2018,$0.80 ,$1.69 ,$1.95 ,$1.99 ,$1.54 
Broccoli Bunches,2/25/2018,$0.60 ,$1.65 ,$1.25 ,$1.49 ,$1.63 
Avocados,2/25/2018,$0.82 ,$1.12 ,$1.76 ,$1.53 ,$1.49 
Strawberries,2/18/2018,$1.63 ,$2.29 ,$2.91 ,$1.89 ,$3.11 
Romaine Lettuce,2/18/2018,$0.38 ,$1.62 ,$2.19 ,$1.47 ,$1.85 
Red Leaf Lettuce,2/18/2018,$0.34 ,$1.42 ,$1.56 ,$1.47 ,$1.60 
Potatoes,2/18/2018,$1.60 ,$3.97 ,$4.31 ,$3.99 ,$5.72 
Oranges,2/18/2018,$0.53 ,$1.35 ,$1.61 ,$1.34 ,$1.76 
Iceberg Lettuce,2/18/2018,$0.41 ,$0.99 ,$1.46 ,$1.34 ,$1.65 
Green Leaf Lettuce,2/18/2018,$0.37 ,$1.42 ,$1.61 ,$1.47 ,$1.57 
Celery,2/18/2018,$0.30 ,$1.19 ,$1.69 ,$1.84 ,$1.62 
Cauliflower,2/18/2018,$1.35 ,$2.82 ,$3.09 ,$3.78 ,$2.69 
Carrots,2/18/2018,$0.31 ,$1.22 ,$0.92 ,$0.99 ,$1.05 
Broccoli Crowns,2/18/2018,$0.44 ,$1.69 ,$1.92 ,$1.99 ,$1.79 
Broccoli Bunches,2/18/2018,$0.39 ,$1.65 ,$1.74 ,$1.49 ,$1.63 
Avocados,2/18/2018,$0.85 ,$1.09 ,$1.76 ,$1.43 ,$1.67 
Strawberries,2/11/2018,$1.75 ,$2.49 ,$2.87 ,$3.62 ,$2.99 
Romaine Lettuce,2/11/2018,$0.30 ,$1.79 ,$2.07 ,$1.47 ,$1.85 
Red Leaf Lettuce,2/11/2018,$0.30 ,$1.42 ,$1.73 ,$1.47 ,$1.65 
Potatoes,2/11/2018,$1.60 ,$3.97 ,$4.31 ,$3.99 ,$5.72 
Oranges,2/11/2018,$0.53 ,$1.61 ,$1.35 ,$1.34 ,$1.88 
Iceberg Lettuce,2/11/2018,$0.32 ,$0.99 ,$1.46 ,$1.24 ,$1.59 
Green Leaf Lettuce,2/11/2018,$0.30 ,$1.42 ,$1.68 ,$1.47 ,$1.57 
Celery,2/11/2018,$0.32 ,$1.37 ,$1.57 ,$1.94 ,$1.62 
Cauliflower,2/11/2018,$0.61 ,$2.82 ,$2.99 ,$3.68 ,$2.81 
Carrots,2/11/2018,$0.31 ,$1.22 ,$0.92 ,$0.99 ,$1.05 
Broccoli Crowns,2/11/2018,$0.34 ,$1.69 ,$2.10 ,$1.99 ,$1.86 
Avocados,2/11/2018,$0.82 ,$1.09 ,$1.76 ,$1.51 ,$1.58 
Strawberries,2/4/2018,$1.81 ,$3.12 ,$3.24 ,$3.37 ,$3.12 
Romaine Lettuce,2/4/2018,$0.30 ,$1.99 ,$2.19 ,$1.47 ,$1.85 
Red Leaf Lettuce,2/4/2018,$0.30 ,$1.42 ,$1.68 ,$1.47 ,$1.66 
Potatoes,2/4/2018,$1.60 ,$5.24 ,$4.31 ,$3.99 ,$5.72 
Oranges,2/4/2018,$0.55 ,$1.37 ,$1.59 ,$1.34 ,$2.00 
Iceberg Lettuce,2/4/2018,$0.32 ,$0.99 ,$1.46 ,$1.34 ,$1.59 
Green Leaf Lettuce,2/4/2018,$0.30 ,$1.42 ,$1.61 ,$1.47 ,$1.62 
Celery,2/4/2018,$0.33 ,$1.37 ,$1.49 ,$1.84 ,$1.64 
Cauliflower,2/4/2018,$0.65 ,$2.82 ,$3.21 ,$3.68 ,$3.19 
Carrots,2/4/2018,$0.32 ,$0.92 ,$0.92 ,$0.99 ,$1.22 
Broccoli Crowns,2/4/2018,$0.34 ,$1.69 ,$1.66 ,$1.99 ,$1.91 
Avocados,2/4/2018,$0.82 ,$0.87 ,$1.45 ,$1.31 ,$1.32 
Strawberries,1/28/2018,$1.75 ,$3.15 ,$3.82 ,$2.99 ,$3.86 
Oranges,1/28/2018,$0.54 ,$1.48 ,$1.61 ,$1.34 ,$1.76 
Romaine Lettuce,1/28/2018,$0.28 ,$1.62 ,$2.19 ,$1.47 ,$1.85 
Red Leaf Lettuce,1/28/2018,$0.29 ,$1.49 ,$1.73 ,$1.42 ,$1.60 
Potatoes,1/28/2018,$1.60 ,$5.24 ,$4.31 ,$3.99 ,$5.97 
Iceberg Lettuce,1/28/2018,$0.31 ,$1.24 ,$1.46 ,$1.24 ,$1.66 
Green Leaf Lettuce,1/28/2018,$0.29 ,$1.42 ,$1.65 ,$1.42 ,$1.57 
Celery,1/28/2018,$0.33 ,$1.37 ,$1.56 ,$1.99 ,$1.99 
Cauliflower,1/28/2018,$0.74 ,$2.85 ,$3.46 ,$3.68 ,$4.32 
Carrots,1/28/2018,$0.31 ,$0.92 ,$0.92 ,$0.99 ,$0.95 
Broccoli Crowns,1/28/2018,$0.39 ,$2.34 ,$1.92 ,$2.14 ,$2.04 
Broccoli Bunches,1/28/2018,$0.33 ,$1.81 ,$1.74 ,$1.40 ,$2.44 
Avocados,1/28/2018,$0.73 ,$1.23 ,$1.41 ,$1.69 ,$1.66 
Strawberries,1/21/2018,$2.00 ,$2.66 ,$3.37 ,$3.99 ,$4.11 
Romaine Lettuce,1/21/2018,$0.28 ,$1.62 ,$2.07 ,$1.44 ,$1.88 
Red Leaf Lettuce,1/21/2018,$0.29 ,$1.42 ,$1.70 ,$1.42 ,$1.72 
Potatoes,1/21/2018,$1.60 ,$3.99 ,$4.31 ,$3.99 ,$5.72 
Oranges,1/21/2018,$0.54 ,$1.39 ,$1.49 ,$1.07 ,$1.88 
Iceberg Lettuce,1/21/2018,$0.32 ,$0.99 ,$1.46 ,$1.24 ,$1.61 
Green Leaf Lettuce,1/21/2018,$0.29 ,$1.42 ,$1.73 ,$1.34 ,$1.64 
Celery,1/21/2018,$0.32 ,$1.75 ,$1.57 ,$1.94 ,$1.67 
Cauliflower,1/21/2018,$0.60 ,$2.98 ,$3.46 ,$3.68 ,$3.34 
Carrots,1/21/2018,$0.31 ,$0.92 ,$0.92 ,$0.99 ,$1.05 
Broccoli Crowns,1/21/2018,$0.37 ,$1.69 ,$1.92 ,$1.99 ,$2.04 
Broccoli Bunches,1/21/2018,$0.36 ,$1.48 ,$1.56 ,$1.49 ,$1.63 
Strawberries,1/14/2018,$2.00 ,$2.99 ,$3.12 ,$2.62 ,$4.11 
Romaine Lettuce,1/14/2018,$0.29 ,$1.52 ,$2.19 ,$1.47 ,$1.85 
Red Leaf Lettuce,1/14/2018,$0.30 ,$1.34 ,$1.73 ,$1.42 ,$1.60 
Potatoes,1/14/2018,$1.60 ,$5.24 ,$4.31 ,$3.99 ,$5.97 
Oranges,1/14/2018,$0.54 ,$1.48 ,$1.32 ,$1.34 ,$1.76 
Iceberg Lettuce,1/14/2018,$0.33 ,$0.99 ,$1.46 ,$1.24 ,$1.66 
Green Leaf Lettuce,1/14/2018,$0.30 ,$1.32 ,$1.65 ,$1.42 ,$1.57 
Celery,1/14/2018,$0.34 ,$1.37 ,$1.56 ,$1.94 ,$1.99 
Cauliflower,1/14/2018,$0.62 ,$2.98 ,$3.46 ,$3.68 ,$4.66 
Carrots,1/14/2018,$0.31 ,$0.92 ,$0.92 ,$0.99 ,$0.89 
Broccoli Crowns,1/14/2018,$0.44 ,$1.91 ,$1.92 ,$2.14 ,$2.04 
Broccoli Bunches,1/14/2018,$0.43 ,$1.48 ,$1.74 ,$1.40 ,$2.44 
Strawberries,1/7/2018,$2.06 ,$3.49 ,$2.61 ,$2.69 ,$3.99 
Romaine Lettuce,1/7/2018,$0.34 ,$1.52 ,$2.07 ,$1.47 ,$1.85 
Red Leaf Lettuce,1/7/2018,$0.35 ,$1.34 ,$1.78 ,$1.42 ,$1.65 
Potatoes,1/7/2018,$1.60 ,$5.24 ,$4.31 ,$3.99 ,$5.72 
Oranges,1/7/2018,$0.54 ,$1.69 ,$1.54 ,$1.24 ,$1.76 
Iceberg Lettuce,1/7/2018,$0.39 ,$0.99 ,$1.41 ,$1.24 ,$1.61 
Green Leaf Lettuce,1/7/2018,$0.35 ,$1.32 ,$1.73 ,$1.42 ,$1.57 
Celery,1/7/2018,$0.38 ,$1.38 ,$1.94 ,$1.94 ,$1.54 
Cauliflower,1/7/2018,$1.04 ,$2.98 ,$3.46 ,$3.68 ,$4.21 
Carrots,1/7/2018,$0.32 ,$0.92 ,$0.92 ,$0.99 ,$0.89 
Broccoli Crowns,1/7/2018,$0.77 ,$1.69 ,$2.10 ,$2.14 ,$1.74 
Broccoli Bunches,1/7/2018,$0.70 ,$1.65 ,$1.58 ,$1.40 ,$1.63 
Broccoli Crowns,12/31/2017,$1.25 ,$2.58 ,$2.10 ,$1.74 ,$1.96 
Strawberries,12/31/2017,$2.00 ,$3.22 ,$2.49 ,$3.74 ,$3.99 
Romaine Lettuce,12/31/2017,$0.35 ,$1.85 ,$2.41 ,$1.47 ,$1.85 
Red Leaf Lettuce,12/31/2017,$0.34 ,$1.49 ,$1.96 ,$1.42 ,$1.59 
Potatoes,12/31/2017,$1.60 ,$5.24 ,$2.47 ,$3.99 ,$4.44 
Oranges,12/31/2017,$0.55 ,$1.56 ,$1.13 ,$1.24 ,$1.76 
Iceberg Lettuce,12/31/2017,$0.38 ,$0.99 ,$1.36 ,$1.24 ,$1.72 
Green Leaf Lettuce,12/31/2017,$0.34 ,$1.42 ,$1.88 ,$1.42 ,$1.55 
Celery,12/31/2017,$0.39 ,$1.37 ,$1.93 ,$1.84 ,$1.73 
Cauliflower,12/31/2017,$2.05 ,$2.92 ,$3.16 ,$3.18 ,$3.96 
Carrots,12/31/2017,$0.31 ,$0.92 ,$0.85 ,$0.99 ,$1.29 
Broccoli Bunches,12/31/2017,$0.79 ,$1.48 ,$1.14 ,$1.49 ,$2.44 
Strawberries,12/24/2017,$1.81 ,$3.61 ,$2.33 ,$3.74 ,$3.12 
Romaine Lettuce,12/24/2017,$0.32 ,$1.75 ,$2.47 ,$1.47 ,$1.68 
Green Leaf Lettuce,12/24/2017,$0.33 ,$1.52 ,$1.92 ,$1.42 ,$1.72 
Red Leaf Lettuce,12/24/2017,$0.34 ,$1.52 ,$2.00 ,$1.42 ,$1.74 
Potatoes,12/24/2017,$1.60 ,$4.31 ,$3.81 ,$3.99 ,$5.72 
Oranges,12/24/2017,$0.56 ,$1.38 ,$1.10 ,$0.94 ,$1.76 
Iceberg Lettuce,12/24/2017,$0.35 ,$0.99 ,$1.44 ,$1.24 ,$1.69 
Flame Grapes,12/24/2017,$1.26 ,$2.90 ,$2.79 ,$2.87 ,$2.61 
Celery,12/24/2017,$0.36 ,$1.31 ,$1.46 ,$1.94 ,$1.56 
Cauliflower,12/24/2017,$2.45 ,$2.59 ,$3.04 ,$3.68 ,$3.74 
Carrots,12/24/2017,$0.31 ,$0.92 ,$0.85 ,$0.99 ,$1.12 
Broccoli Crowns,12/24/2017,$1.14 ,$2.27 ,$1.92 ,$1.99 ,$1.59 
Broccoli Bunches,12/24/2017,$0.74 ,$1.61 ,$1.20 ,$1.79 ,$2.44 
Strawberries,12/17/2017,$1.88 ,$3.65 ,$3.29 ,$3.99 ,$4.54 
Romaine Lettuce,12/17/2017,$0.34 ,$2.02 ,$2.07 ,$1.47 ,$1.85 
Red Leaf Lettuce,12/17/2017,$0.34 ,$1.52 ,$1.78 ,$1.42 ,$1.55 
Potatoes,12/17/2017,$1.60 ,$4.27 ,$4.31 ,$3.99 ,$6.99 
Oranges,12/17/2017,$0.56 ,$1.38 ,$1.36 ,$1.14 ,$1.90 
Iceberg Lettuce,12/17/2017,$0.35 ,$0.99 ,$1.49 ,$1.24 ,$1.59 
Green Leaf Lettuce,12/17/2017,$1.26 ,$2.77 ,$2.41 ,$2.99 ,$2.16 
Celery,12/17/2017,$0.53 ,$1.25 ,$1.33 ,$1.77 ,$1.52 
Cauliflower,12/17/2017,$2.64 ,$2.59 ,$2.99 ,$3.18 ,$2.59 
Carrots,12/17/2017,$0.31 ,$0.92 ,$0.95 ,$0.99 ,$1.05 
Broccoli Crowns,12/17/2017,$0.87 ,$1.82 ,$1.92 ,$1.74 ,$1.41 
Broccoli Bunches,12/17/2017,$0.62 ,$1.65 ,$1.16 ,$1.49 ,$1.63 
Strawberries,12/10/2017,$1.69 ,$3.84 ,$3.62 ,$3.99 ,$4.74 
Romaine Lettuce,12/10/2017,$0.34 ,$1.75 ,$2.47 ,$1.47 ,$1.76 
Red Leaf Lettuce,12/10/2017,$0.35 ,$1.52 ,$2.00 ,$1.42 ,$1.60 
Potatoes,12/10/2017,$1.55 ,$4.31 ,$4.31 ,$3.99 ,$5.72 
Oranges,12/10/2017,$0.58 ,$1.38 ,$1.30 ,$0.75 ,$1.88 
Iceberg Lettuce,12/10/2017,$0.39 ,$0.99 ,$1.41 ,$1.24 ,$1.59 
Green Leaf Lettuce,12/10/2017,$0.34 ,$1.52 ,$1.92 ,$1.42 ,$1.62 
Flame Grapes,12/10/2017,$1.21 ,$2.90 ,$1.86 ,$2.74 ,$2.81 
Celery,12/10/2017,$0.48 ,$1.31 ,$1.51 ,$1.77 ,$1.86 
Cauliflower,12/10/2017,$2.18 ,$2.59 ,$2.49 ,$3.48 ,$3.09 
Carrots,12/10/2017,$0.31 ,$0.92 ,$0.92 ,$0.99 ,$1.35 
Broccoli Crowns,12/10/2017,$0.61 ,$2.03 ,$1.92 ,$1.99 ,$1.66 
Broccoli Bunches,12/10/2017,$0.52 ,$1.61 ,$1.32 ,$1.79 ,$2.44 
Strawberries,12/3/2017,$1.75 ,$3.86 ,$3.99 ,$4.49 ,$4.82 
Romaine Lettuce,12/3/2017,$0.33 ,$1.81 ,$2.09 ,$1.47 ,$1.97 
Red Leaf Lettuce,12/3/2017,$0.31 ,$1.49 ,$1.92 ,$1.42 ,$1.62 
Potatoes,12/3/2017,$1.50 ,$5.57 ,$3.72 ,$3.99 ,$6.99 
Oranges,12/3/2017,$0.56 ,$1.56 ,$1.37 ,$0.96 ,$2.00 
Iceberg Lettuce,12/3/2017,$0.33 ,$0.99 ,$1.23 ,$1.24 ,$1.59 
Green Leaf Lettuce,12/3/2017,$0.32 ,$1.49 ,$1.87 ,$1.42 ,$1.54 
Flame Grapes,12/3/2017,$1.21 ,$2.68 ,$2.49 ,$2.12 ,$2.69 
Celery,12/3/2017,$0.39 ,$1.21 ,$1.93 ,$1.94 ,$1.49 
Cauliflower,12/3/2017,$1.06 ,$2.59 ,$1.84 ,$3.48 ,$3.34 
Carrots,12/3/2017,$0.31 ,$0.92 ,$0.85 ,$0.99 ,$1.15 
Broccoli Crowns,12/3/2017,$0.38 ,$1.59 ,$1.92 ,$1.99 ,$1.66 
Broccoli Bunches,12/3/2017,$0.35 ,$1.22 ,$1.29 ,$1.49 ,$1.63 
Strawberries,11/26/2017,$1.63 ,$3.29 ,$3.65 ,$4.49 ,$4.24 
Romaine Lettuce,11/26/2017,$0.31 ,$1.75 ,$2.18 ,$1.47 ,$1.93 
Red Leaf Lettuce,11/26/2017,$0.31 ,$1.52 ,$1.75 ,$1.42 ,$1.55 
Potatoes,11/26/2017,$1.50 ,$4.31 ,$3.72 ,$3.99 ,$4.99 
Oranges,11/26/2017,$0.56 ,$1.56 ,$1.31 ,$1.07 ,$1.99 
Iceberg Lettuce,11/26/2017,$0.32 ,$0.99 ,$1.41 ,$1.24 ,$1.61 
Green Leaf Lettuce,11/26/2017,$0.30 ,$1.52 ,$1.68 ,$1.42 ,$1.62 
Flame Grapes,11/26/2017,$1.21 ,$2.23 ,$2.36 ,$2.87 ,$2.36 
Celery,11/26/2017,$0.39 ,$1.35 ,$1.21 ,$1.94 ,$1.66 
Cauliflower,11/26/2017,$0.57 ,$2.66 ,$3.16 ,$2.98 ,$3.46 
Carrots,11/26/2017,$0.31 ,$0.92 ,$0.82 ,$0.99 ,$1.29 
Broccoli Crowns,11/26/2017,$0.34 ,$2.16 ,$1.92 ,$1.74 ,$1.66 
Broccoli Bunches,11/26/2017,$0.35 ,$1.61 ,$1.40 ,$1.79 ,$2.44 
Strawberries,11/19/2017,$2.33 ,$3.41 ,$3.65 ,$4.49 ,$4.49 
Romaine Lettuce,11/19/2017,$0.35 ,$1.75 ,$2.27 ,$1.47 ,$1.93 
Red Leaf Lettuce,11/19/2017,$0.34 ,$1.52 ,$1.82 ,$1.42 ,$1.60 
Potatoes,11/19/2017,$1.50 ,$4.27 ,$3.72 ,$3.99 ,$4.99 
Oranges,11/19/2017,$0.63 ,$1.61 ,$1.51 ,$0.99 ,$2.10 
Iceberg Lettuce,11/19/2017,$0.31 ,$0.99 ,$1.41 ,$1.24 ,$1.59 
Green Leaf Lettuce,11/19/2017,$0.31 ,$1.52 ,$1.75 ,$1.42 ,$1.62 
Flame Grapes,11/19/2017,$1.10 ,$2.11 ,$2.19 ,$2.74 ,$2.36 
Celery,11/19/2017,$0.48 ,$1.24 ,$1.11 ,$1.94 ,$1.31 
Cauliflower,11/19/2017,$0.64 ,$2.92 ,$3.16 ,$3.83 ,$3.71 
Carrots,11/19/2017,$0.31 ,$0.95 ,$0.82 ,$0.99 ,$1.29 
Broccoli Crowns,11/19/2017,$0.43 ,$2.16 ,$2.10 ,$1.99 ,$1.66 
Broccoli Bunches,11/19/2017,$0.41 ,$1.61 ,$1.25 ,$1.79 ,$2.44 
Strawberries,11/12/2017,$2.92 ,$3.24 ,$3.24 ,$3.74 ,$3.11 
Romaine Lettuce,11/12/2017,$0.35 ,$2.06 ,$2.01 ,$1.52 ,$1.74 
Red Leaf Lettuce,11/12/2017,$0.36 ,$1.52 ,$1.66 ,$1.42 ,$1.74 
Potatoes,11/12/2017,$1.40 ,$4.27 ,$3.81 ,$3.99 ,$5.22 
Oranges,11/12/2017,$0.63 ,$1.61 ,$1.60 ,$0.99 ,$2.10 
Iceberg Lettuce,11/12/2017,$0.33 ,$0.99 ,$1.28 ,$1.24 ,$1.54 
Honeydews,11/12/2017,$1.25 ,$3.94 ,$3.99 ,$3.60 ,$4.36 
Green Leaf Lettuce,11/12/2017,$0.35 ,$1.52 ,$1.69 ,$1.42 ,$1.64 
Flame Grapes,11/12/2017,$1.10 ,$1.94 ,$1.99 ,$2.49 ,$1.99 
Celery,11/12/2017,$0.59 ,$1.24 ,$1.37 ,$1.17 ,$1.57 
Cauliflower,11/12/2017,$0.83 ,$2.92 ,$3.26 ,$3.98 ,$3.21 
Carrots,11/12/2017,$0.31 ,$0.95 ,$0.95 ,$0.99 ,$1.09 
Cantaloupe,11/12/2017,$0.69 ,$2.65 ,$2.86 ,$3.06 ,$3.11 
Broccoli Crowns,11/12/2017,$0.58 ,$1.91 ,$1.94 ,$2.14 ,$1.84 
Broccoli Bunches,11/12/2017,$0.55 ,$1.61 ,$1.29 ,$1.49 ,$2.09 
Strawberries,11/5/2017,$1.83 ,$2.99 ,$3.49 ,$3.49 ,$3.11 
Romaine Lettuce,11/5/2017,$0.38 ,$1.75 ,$2.13 ,$1.47 ,$1.74 
Red Leaf Lettuce,11/5/2017,$0.35 ,$1.52 ,$1.68 ,$1.42 ,$1.74 
Potatoes,11/5/2017,$1.50 ,$3.97 ,$4.31 ,$3.99 ,$5.21 
Oranges,11/5/2017,$0.66 ,$1.75 ,$1.60 ,$0.99 ,$2.10 
Iceberg Lettuce,11/5/2017,$0.34 ,$0.99 ,$1.74 ,$1.24 ,$1.66 
Honeydews,11/5/2017,$1.58 ,$4.49 ,$3.65 ,$4.01 ,$4.36 
Green Leaf Lettuce,11/5/2017,$0.36 ,$1.52 ,$1.61 ,$1.42 ,$1.70 
Flame Grapes,11/5/2017,$1.08 ,$2.06 ,$2.49 ,$2.49 ,$2.11 
Celery,11/5/2017,$0.66 ,$1.44 ,$2.06 ,$1.82 ,$1.42 
Cauliflower,11/5/2017,$2.53 ,$2.88 ,$3.21 ,$3.98 ,$4.32 
Carrots,11/5/2017,$0.31 ,$0.92 ,$0.82 ,$0.99 ,$1.09 
Cantaloupe,11/5/2017,$1.33 ,$2.75 ,$2.74 ,$2.69 ,$2.86 
Broccoli Crowns,11/5/2017,$0.83 ,$1.92 ,$1.92 ,$2.14 ,$1.79 
Broccoli Bunches,11/5/2017,$0.66 ,$1.88 ,$1.18 ,$1.79 ,$2.09 
Strawberries,10/29/2017,$1.46 ,$2.83 ,$2.74 ,$2.62 ,$3.36 
Romaine Lettuce,10/29/2017,$0.47 ,$1.75 ,$2.01 ,$1.44 ,$1.76 
Red Leaf Lettuce,10/29/2017,$0.37 ,$1.52 ,$1.73 ,$1.37 ,$1.74 
Potatoes,10/29/2017,$1.45 ,$3.22 ,$3.97 ,$3.99 ,$5.21 
Oranges,10/29/2017,$0.67 ,$1.53 ,$1.60 ,$1.49 ,$2.22 
Iceberg Lettuce,10/29/2017,$0.43 ,$0.99 ,$1.66 ,$1.24 ,$1.66 
Honeydews,10/29/2017,$1.91 ,$3.92 ,$2.99 ,$4.01 ,$4.36 
Green Leaf Lettuce,10/29/2017,$0.37 ,$1.52 ,$1.69 ,$1.32 ,$1.64 
Flame Grapes,10/29/2017,$1.05 ,$1.86 ,$1.91 ,$2.24 ,$1.99 
Celery,10/29/2017,$0.65 ,$1.51 ,$1.84 ,$1.82 ,$1.76 
Cauliflower,10/29/2017,$2.42 ,$2.88 ,$3.15 ,$3.58 ,$2.59 
Carrots,10/29/2017,$0.31 ,$0.95 ,$0.82 ,$0.99 ,$1.09 
Cantaloupe,10/29/2017,$1.54 ,$2.65 ,$2.49 ,$2.74 ,$2.74 
Broccoli Crowns,10/29/2017,$0.96 ,$1.91 ,$1.82 ,$2.14 ,$1.71 
Broccoli Bunches,10/29/2017,$0.76 ,$1.88 ,$1.19 ,$1.49 ,$2.09 
Strawberries,10/22/2017,$1.10 ,$2.74 ,$2.74 ,$2.62 ,$3.36 
Romaine Lettuce,10/22/2017,$0.53 ,$1.75 ,$2.23 ,$1.57 ,$1.76 
Red Leaf Lettuce,10/22/2017,$0.36 ,$1.52 ,$1.82 ,$1.42 ,$1.74 
Potatoes,10/22/2017,$1.40 ,$3.97 ,$3.81 ,$3.99 ,$4.44 
Oranges,10/22/2017,$0.67 ,$1.53 ,$1.43 ,$1.67 ,$2.22 
Iceberg Lettuce,10/22/2017,$0.50 ,$0.99 ,$1.61 ,$1.12 ,$1.66 
Honeydews,10/22/2017,$1.99 ,$3.99 ,$3.42 ,$3.32 ,$4.36 
Green Leaf Lettuce,10/22/2017,$0.36 ,$1.52 ,$1.75 ,$1.42 ,$1.70 
Flame Grapes,10/22/2017,$1.02 ,$2.12 ,$2.19 ,$1.99 ,$2.11 
Celery,10/22/2017,$0.49 ,$1.75 ,$1.81 ,$1.94 ,$1.76 
Cauliflower,10/22/2017,$1.76 ,$2.91 ,$2.75 ,$3.68 ,$2.83 
Carrots,10/22/2017,$0.31 ,$0.95 ,$0.82 ,$1.50 ,$1.09 
Cantaloupe,10/22/2017,$1.37 ,$2.49 ,$2.12 ,$2.37 ,$2.74 
Broccoli Crowns,10/22/2017,$0.92 ,$1.78 ,$2.10 ,$2.14 ,$1.71 
Broccoli Bunches,10/22/2017,$0.71 ,$1.88 ,$1.07 ,$1.79 ,$2.09 
Tomatoes,10/15/2017,$0.44 ,$1.52 ,$1.44 ,$1.69 ,$1.99 
Strawberries,10/15/2017,$1.13 ,$2.66 ,$2.99 ,$2.25 ,$3.61 
Romaine Lettuce,10/15/2017,$0.78 ,$1.62 ,$1.93 ,$1.32 ,$1.76 
Red Leaf Lettuce,10/15/2017,$0.38 ,$1.52 ,$1.80 ,$1.32 ,$1.72 
Potatoes,10/15/2017,$1.40 ,$3.97 ,$3.97 ,$3.99 ,$5.22 
Oranges,10/15/2017,$0.58 ,$1.53 ,$1.52 ,$1.39 ,$2.22 
Iceberg Lettuce,10/15/2017,$1.23 ,$1.04 ,$1.31 ,$0.99 ,$1.66 
Honeydews,10/15/2017,$1.75 ,$3.24 ,$3.82 ,$3.48 ,$4.36 
Green Leaf Lettuce,10/15/2017,$0.41 ,$1.52 ,$1.75 ,$1.32 ,$1.64 
Flame Grapes,10/15/2017,$1.00 ,$2.24 ,$1.88 ,$1.71 ,$2.36 
Celery,10/15/2017,$0.47 ,$1.61 ,$1.93 ,$1.94 ,$1.42 
Cauliflower,10/15/2017,$1.23 ,$2.78 ,$3.20 ,$3.68 ,$2.99 
Carrots,10/15/2017,$0.31 ,$0.95 ,$0.82 ,$0.99 ,$0.99 
Broccoli Crowns,10/15/2017,$0.94 ,$1.91 ,$1.94 ,$2.14 ,$1.84 
