Commodity,Date,Farm,Atlanta,Chicago,Los Angeles,New York
Broccoli Bunches,10/15/2017,$0.73 ,$1.61 ,$1.42 ,$1.49 ,$1.18 
Tomatoes,10/8/2017,$0.44 ,$1.52 ,$1.26 ,$1.69 ,$1.91 
Strawberries,10/8/2017,$1.02 ,$2.64 ,$3.36 ,$2.99 ,$3.34 
Romaine Lettuce,10/8/2017,$0.86 ,$1.78 ,$2.13 ,$1.32 ,$2.01 
Red Leaf Lettuce,10/8/2017,$0.41 ,$1.52 ,$1.68 ,$1.32 ,$1.79 
Potatoes,10/8/2017,$1.40 ,$3.97 ,$3.97 ,$3.99 ,$5.21 
Oranges,10/8/2017,$0.56 ,$1.73 ,$1.52 ,$1.59 ,$1.99 
Iceberg Lettuce,10/8/2017,$1.56 ,$0.99 ,$1.31 ,$0.99 ,$1.75 
Honeydews,10/8/2017,$1.47 ,$3.74 ,$3.65 ,$3.73 ,$4.24 
Green Leaf Lettuce,10/8/2017,$0.43 ,$1.52 ,$1.61 ,$1.32 ,$1.75 
Flame Grapes,10/8/2017,$1.00 ,$2.19 ,$1.98 ,$1.74 ,$2.31 
Celery,10/8/2017,$0.38 ,$1.54 ,$2.06 ,$1.94 ,$1.62 
Cauliflower,10/8/2017,$1.02 ,$2.78 ,$2.90 ,$3.63 ,$2.99 
Carrots,10/8/2017,$0.31 ,$0.95 ,$0.82 ,$1.69 ,$1.09 
Cantaloupe,10/8/2017,$0.76 ,$2.18 ,$2.44 ,$4.13 ,$2.62 
Broccoli Crowns,10/8/2017,$0.97 ,$2.10 ,$1.73 ,$2.12 ,$1.74 
Tomatoes,10/1/2017,$0.46 ,$1.49 ,$1.44 ,$1.57 ,$1.86 
Strawberries,10/1/2017,$1.13 ,$2.59 ,$2.62 ,$3.49 ,$3.71 
Romaine Lettuce,10/1/2017,$0.78 ,$1.52 ,$1.91 ,$1.32 ,$2.17 
Red Leaf Lettuce,10/1/2017,$0.40 ,$1.52 ,$1.73 ,$1.32 ,$1.79 
Potatoes,10/1/2017,$1.40 ,$3.47 ,$4.31 ,$3.99 ,$5.42 
Oranges,10/1/2017,$0.56 ,$1.66 ,$1.48 ,$1.69 ,$1.89 
Iceberg Lettuce,10/1/2017,$1.13 ,$0.96 ,$1.31 ,$0.99 ,$1.64 
Honeydews,10/1/2017,$1.33 ,$3.24 ,$3.65 ,$3.48 ,$3.99 
Green Leaf Lettuce,10/1/2017,$0.40 ,$1.52 ,$1.69 ,$1.32 ,$1.67 
Flame Grapes,10/1/2017,$1.05 ,$2.29 ,$2.01 ,$1.99 ,$2.29 
Celery,10/1/2017,$0.31 ,$1.60 ,$1.89 ,$1.94 ,$1.54 
Cauliflower,10/1/2017,$1.27 ,$2.61 ,$2.90 ,$3.68 ,$3.24 
Carrots,10/1/2017,$0.31 ,$0.95 ,$0.82 ,$0.99 ,$1.07 
Cantaloupe,10/1/2017,$0.65 ,$2.24 ,$2.16 ,$2.37 ,$2.62 
Broccoli Crowns,10/1/2017,$1.44 ,$2.07 ,$1.93 ,$2.02 ,$1.85 
Broccoli Bunches,10/1/2017,$0.96 ,$1.78 ,$1.30 ,$1.49 ,$1.29 
Tomatoes,9/24/2017,$0.46 ,$1.46 ,$1.36 ,$1.69 ,$2.11 
Strawberries,9/24/2017,$1.29 ,$2.49 ,$2.49 ,$3.37 ,$3.55 
Romaine Lettuce,9/24/2017,$0.56 ,$1.94 ,$2.16 ,$1.47 ,$1.84 
Red Leaf Lettuce,9/24/2017,$0.36 ,$1.52 ,$2.08 ,$1.47 ,$1.72 
Potatoes,9/24/2017,$1.40 ,$3.97 ,$3.14 ,$3.99 ,$6.21 
Plums,9/24/2017,$0.89 ,$1.99 ,$2.15 ,$1.99 ,$2.24 
Peaches,9/24/2017,$0.78 ,$1.83 ,$1.49 ,$1.99 ,$2.15 
Oranges,9/24/2017,$0.56 ,$1.66 ,$1.34 ,$1.69 ,$1.89 
Iceberg Lettuce,9/24/2017,$0.92 ,$0.99 ,$1.34 ,$1.39 ,$1.44 
Honeydews,9/24/2017,$1.38 ,$2.99 ,$3.42 ,$3.26 ,$3.74 
Green Leaf Lettuce,9/24/2017,$0.36 ,$1.52 ,$1.75 ,$1.47 ,$1.72 
Flame Grapes,9/24/2017,$1.05 ,$2.26 ,$1.69 ,$2.24 ,$2.11 
Celery,9/24/2017,$0.34 ,$1.57 ,$1.77 ,$1.94 ,$1.67 
Cauliflower,9/24/2017,$1.63 ,$2.61 ,$2.01 ,$3.68 ,$2.86 
Carrots,9/24/2017,$0.28 ,$0.95 ,$0.82 ,$0.99 ,$1.07 
Cantaloupe,9/24/2017,$0.56 ,$2.41 ,$2.29 ,$2.74 ,$2.41 
Broccoli Bunches,9/24/2017,$1.32 ,$1.61 ,$1.19 ,$1.64 ,$1.94 
Tomatoes,9/17/2017,$0.52 ,$1.49 ,$1.24 ,$1.57 ,$2.05 
Strawberries,9/17/2017,$1.29 ,$2.62 ,$2.37 ,$2.86 ,$3.82 
Romaine Lettuce,9/17/2017,$0.39 ,$1.64 ,$1.98 ,$1.47 ,$1.84 
Red Leaf Lettuce,9/17/2017,$0.32 ,$1.52 ,$1.66 ,$1.47 ,$1.67 
Plums,9/17/2017,$0.98 ,$2.15 ,$2.24 ,$1.74 ,$2.74 
Peaches,9/17/2017,$0.78 ,$1.61 ,$1.64 ,$1.74 ,$1.84 
Oranges,9/17/2017,$0.57 ,$1.48 ,$1.29 ,$1.69 ,$1.76 
Nectarines,9/17/2017,$0.88 ,$2.24 ,$2.01 ,$2.49 ,$2.49 
Iceberg Lettuce,9/17/2017,$0.31 ,$0.99 ,$1.18 ,$1.39 ,$1.56 
Honeydews,9/17/2017,$1.13 ,$3.24 ,$3.65 ,$2.98 ,$2.99 
Green Leaf Lettuce,9/17/2017,$0.32 ,$1.52 ,$1.62 ,$1.47 ,$1.52 
Flame Grapes,9/17/2017,$1.05 ,$2.10 ,$1.86 ,$1.62 ,$2.32 
Celery,9/17/2017,$0.30 ,$1.57 ,$1.75 ,$1.92 ,$1.67 
Carrots,9/17/2017,$0.27 ,$0.95 ,$0.79 ,$0.99 ,$1.07 
Cantaloupe,9/17/2017,$0.58 ,$2.24 ,$2.04 ,$2.43 ,$2.24 
Broccoli Crowns,9/17/2017,$1.48 ,$1.74 ,$1.81 ,$1.89 ,$1.60 
Broccoli Bunches,9/17/2017,$1.12 ,$1.67 ,$1.08 ,$1.24 ,$1.14 
Cauliflower,9/10/2017,$0.89 ,$2.56 ,$2.11 ,$3.18 ,$2.98 
Broccoli Bunches,9/10/2017,$0.86 ,$1.78 ,$1.30 ,$1.49 ,$1.94 
Tomatoes,9/10/2017,$0.56 ,$1.59 ,$1.44 ,$1.57 ,$2.19 
Thompson Grapes,9/10/2017,$0.89 ,$1.59 ,$2.04 ,$1.39 ,$2.61 
Strawberries,9/10/2017,$1.38 ,$2.59 ,$2.41 ,$2.99 ,$3.41 
Romaine Lettuce,9/10/2017,$0.36 ,$1.52 ,$2.10 ,$1.52 ,$1.84 
Red Leaf Lettuce,9/10/2017,$0.38 ,$1.52 ,$1.66 ,$1.52 ,$1.72 
Potatoes,9/10/2017,$1.40 ,$3.97 ,$4.31 ,$3.99 ,$5.72 
Plums,9/10/2017,$0.98 ,$2.15 ,$1.89 ,$2.62 ,$1.99 
Peaches,9/10/2017,$0.78 ,$1.74 ,$1.79 ,$2.24 ,$1.91 
Oranges,9/10/2017,$0.57 ,$1.67 ,$1.39 ,$1.57 ,$1.76 
Nectarines,9/10/2017,$0.88 ,$1.17 ,$1.91 ,$2.24 ,$1.99 
Iceberg Lettuce,9/10/2017,$0.36 ,$0.99 ,$1.39 ,$1.39 ,$1.56 
Honeydews,9/10/2017,$0.88 ,$3.49 ,$3.24 ,$3.48 ,$3.49 
Green Leaf Lettuce,9/10/2017,$0.38 ,$1.52 ,$1.58 ,$1.52 ,$1.72 
Flame Grapes,9/10/2017,$1.01 ,$1.87 ,$2.04 ,$1.49 ,$2.44 
Celery,9/10/2017,$0.30 ,$1.94 ,$1.29 ,$1.94 ,$1.67 
Cauliflower,9/10/2017,$0.67 ,$2.95 ,$3.10 ,$3.33 ,$2.99 
Carrots,9/10/2017,$0.27 ,$0.94 ,$0.82 ,$0.99 ,$1.07 
Cantaloupe,9/10/2017,$0.65 ,$2.24 ,$1.54 ,$4.73 ,$1.87 
Broccoli Crowns,9/10/2017,$1.28 ,$1.57 ,$2.09 ,$1.89 ,$1.85 
Avocados,9/10/2017,$1.87 ,$1.52 ,$2.00 ,$1.99 ,$2.07 
Tomatoes,9/3/2017,$0.46 ,$1.59 ,$1.26 ,$1.32 ,$2.11 
Thompson Grapes,9/3/2017,$0.89 ,$2.01 ,$1.84 ,$1.74 ,$2.46 
Strawberries,9/3/2017,$1.28 ,$2.38 ,$2.29 ,$2.12 ,$3.66 
Romaine Lettuce,9/3/2017,$0.49 ,$1.86 ,$1.98 ,$1.47 ,$1.84 
Red Leaf Lettuce,9/3/2017,$0.41 ,$1.52 ,$1.71 ,$1.47 ,$1.67 
Plums,9/3/2017,$0.98 ,$1.52 ,$1.91 ,$2.24 ,$2.36 
Peaches,9/3/2017,$0.78 ,$1.45 ,$1.91 ,$2.24 ,$2.36 
Oranges,9/3/2017,$0.57 ,$1.66 ,$1.19 ,$1.57 ,$1.76 
Nectarines,9/3/2017,$0.88 ,$2.08 ,$1.99 ,$2.37 ,$2.36 
Iceberg Lettuce,9/3/2017,$0.36 ,$0.99 ,$1.41 ,$1.39 ,$1.52 
Honeydews,9/3/2017,$0.83 ,$3.17 ,$2.99 ,$2.98 ,$3.66 
Green Leaf Lettuce,9/3/2017,$0.41 ,$1.52 ,$1.67 ,$1.47 ,$1.52 
Flame Grapes,9/3/2017,$1.08 ,$2.20 ,$1.81 ,$2.24 ,$2.46 
Celery,9/3/2017,$0.32 ,$1.70 ,$1.78 ,$1.94 ,$1.92 
Cauliflower,9/3/2017,$0.86 ,$2.62 ,$2.97 ,$2.98 ,$2.74 
Carrots,9/3/2017,$0.27 ,$0.94 ,$0.82 ,$0.99 ,$1.32 
Cantaloupe,9/3/2017,$0.52 ,$2.16 ,$2.12 ,$2.60 ,$2.37 
Broccoli Crowns,9/3/2017,$0.69 ,$1.64 ,$1.93 ,$1.69 ,$1.60 
Broccoli Bunches,9/3/2017,$0.53 ,$1.78 ,$1.30 ,$1.39 ,$1.29 
Tomatoes,8/27/2017,$0.52 ,$1.59 ,$1.36 ,$1.62 ,$2.04 
Thompson Grapes,8/27/2017,$0.92 ,$1.93 ,$2.14 ,$1.57 ,$2.31 
Strawberries,8/27/2017,$1.22 ,$2.57 ,$2.36 ,$2.37 ,$3.24 
Romaine Lettuce,8/27/2017,$0.42 ,$1.85 ,$2.01 ,$1.39 ,$1.84 
Red Leaf Lettuce,8/27/2017,$0.29 ,$1.42 ,$1.28 ,$1.39 ,$1.72 
Plums,8/27/2017,$1.00 ,$1.40 ,$1.96 ,$1.99 ,$1.96 
Peaches,8/27/2017,$0.78 ,$1.50 ,$1.29 ,$1.74 ,$1.91 
Oranges,8/27/2017,$0.57 ,$1.56 ,$1.17 ,$1.37 ,$1.76 
Nectarines,8/27/2017,$0.88 ,$1.63 ,$1.86 ,$1.61 ,$1.96 
Iceberg Lettuce,8/27/2017,$0.38 ,$1.24 ,$1.31 ,$1.39 ,$1.64 
Honeydews,8/27/2017,$0.88 ,$2.92 ,$2.99 ,$3.60 ,$4.99 
Green Leaf Lettuce,8/27/2017,$0.31 ,$1.42 ,$1.23 ,$1.39 ,$1.72 
Flame Grapes,8/27/2017,$1.06 ,$2.25 ,$2.14 ,$1.57 ,$2.24 
Celery,8/27/2017,$0.29 ,$2.04 ,$1.78 ,$1.94 ,$1.75 
Cauliflower,8/27/2017,$0.61 ,$2.62 ,$2.27 ,$3.23 ,$2.97 
Carrots,8/27/2017,$0.27 ,$0.94 ,$0.84 ,$0.99 ,$1.17 
Cantaloupe,8/27/2017,$0.44 ,$2.16 ,$2.32 ,$4.98 ,$2.62 
Broccoli Crowns,8/27/2017,$0.52 ,$1.67 ,$2.09 ,$1.69 ,$1.60 
Broccoli Bunches,8/27/2017,$0.48 ,$1.78 ,$1.30 ,$1.39 ,$1.97 
Thompson Grapes,8/20/2017,$0.94 ,$1.93 ,$1.84 ,$1.62 ,$1.71 
Tomatoes,8/20/2017,$0.60 ,$1.59 ,$1.44 ,$1.62 ,$2.04 
Strawberries,8/20/2017,$1.16 ,$2.57 ,$2.41 ,$2.87 ,$3.11 
Red Leaf Lettuce,8/20/2017,$0.29 ,$1.42 ,$1.66 ,$1.39 ,$1.67 
Romaine Lettuce,8/20/2017,$0.32 ,$1.85 ,$2.10 ,$1.39 ,$1.84 
Plums,8/20/2017,$0.93 ,$1.40 ,$2.04 ,$1.74 ,$2.21 
Peaches,8/20/2017,$0.84 ,$1.50 ,$2.29 ,$1.62 ,$1.91 
Oranges,8/20/2017,$0.56 ,$1.56 ,$1.39 ,$1.34 ,$1.76 
Nectarines,8/20/2017,$0.96 ,$1.63 ,$1.99 ,$1.74 ,$2.09 
Iceberg Lettuce,8/20/2017,$0.48 ,$1.24 ,$1.31 ,$1.39 ,$1.64 
Honeydews,8/20/2017,$0.79 ,$2.92 ,$2.86 ,$3.48 ,$4.99 
Green Leaf Lettuce,8/20/2017,$0.29 ,$1.42 ,$1.58 ,$1.39 ,$1.64 
Flame Grapes,8/20/2017,$1.12 ,$2.25 ,$2.01 ,$1.32 ,$1.71 
Celery,8/20/2017,$0.29 ,$2.04 ,$2.03 ,$1.94 ,$1.75 
Cauliflower,8/20/2017,$0.54 ,$2.62 ,$2.37 ,$3.63 ,$2.98 
Carrots,8/20/2017,$0.28 ,$0.94 ,$0.79 ,$0.99 ,$1.17 
Cantaloupe,8/20/2017,$0.44 ,$2.16 ,$2.20 ,$2.37 ,$2.62 
Broccoli Crowns,8/20/2017,$0.56 ,$1.67 ,$2.09 ,$1.94 ,$1.64 
Broccoli Bunches,8/20/2017,$0.50 ,$1.78 ,$1.30 ,$1.39 ,$1.97 
Avocados,8/20/2017,$1.69 ,$1.52 ,$1.89 ,$2.17 ,$2.07 
Thompson Grapes,8/13/2017,$0.89 ,$1.74 ,$1.96 ,$1.99 ,$2.45 
Strawberries,8/13/2017,$0.97 ,$2.67 ,$3.00 ,$2.49 ,$2.74 
Romaine Lettuce,8/13/2017,$0.32 ,$1.36 ,$1.98 ,$1.47 ,$1.84 
Red Leaf Lettuce,8/13/2017,$0.29 ,$1.42 ,$1.71 ,$1.47 ,$1.77 
Plums,8/13/2017,$0.93 ,$1.27 ,$1.91 ,$1.99 ,$2.09 
Peaches,8/13/2017,$0.88 ,$1.40 ,$1.61 ,$1.87 ,$1.71 
Oranges,8/13/2017,$0.56 ,$1.61 ,$1.39 ,$1.42 ,$1.90 
Nectarines,8/13/2017,$0.96 ,$1.50 ,$2.04 ,$2.12 ,$1.79 
Iceberg Lettuce,8/13/2017,$0.42 ,$1.24 ,$1.31 ,$1.39 ,$1.69 
Honeydews,8/13/2017,$0.96 ,$3.42 ,$2.99 ,$3.48 ,$3.24 
Green Leaf Lettuce,8/13/2017,$0.29 ,$1.42 ,$1.67 ,$1.47 ,$1.76 
Flame Grapes,8/13/2017,$1.05 ,$1.95 ,$2.09 ,$1.87 ,$2.36 
Celery,8/13/2017,$0.30 ,$1.71 ,$1.78 ,$1.94 ,$2.16 
Cauliflower,8/13/2017,$0.60 ,$2.95 ,$3.10 ,$3.38 ,$3.49 
Carrots,8/13/2017,$0.28 ,$0.94 ,$0.82 ,$0.99 ,$1.07 
Cantaloupe,8/13/2017,$0.48 ,$2.08 ,$2.44 ,$2.00 ,$2.24 
Broccoli Crowns,8/13/2017,$0.70 ,$1.94 ,$1.81 ,$1.82 ,$1.78 
Broccoli Bunches,8/13/2017,$0.53 ,$1.54 ,$1.30 ,$1.23 ,$1.29 
Avocados,8/13/2017,$1.71 ,$1.47 ,$1.88 ,$1.93 ,$1.74 
Tomatoes,8/6/2017,$0.56 ,$1.59 ,$1.24 ,$1.49 ,$2.04 
Green Leaf Lettuce,8/6/2017,$0.29 ,$1.55 ,$1.58 ,$1.39 ,$1.95 
Strawberries,8/6/2017,$0.91 ,$2.58 ,$2.31 ,$2.74 ,$2.62 
Romaine Lettuce,8/6/2017,$0.31 ,$1.86 ,$2.10 ,$1.39 ,$2.16 
Red Leaf Lettuce,8/6/2017,$0.29 ,$1.55 ,$1.66 ,$1.39 ,$2.04 
Plums,8/6/2017,$0.93 ,$1.26 ,$1.86 ,$2.24 ,$2.59 
Peaches,8/6/2017,$0.92 ,$1.17 ,$1.74 ,$1.99 ,$2.29 
Oranges,8/6/2017,$0.57 ,$1.55 ,$1.39 ,$1.42 ,$1.99 
Nectarines,8/6/2017,$0.96 ,$1.17 ,$1.74 ,$2.24 ,$2.16 
Iceberg Lettuce,8/6/2017,$0.34 ,$1.24 ,$1.31 ,$1.39 ,$1.69 
Honeydews,8/6/2017,$0.96 ,$3.17 ,$2.99 ,$3.85 ,$3.87 
Flame Grapes,8/6/2017,$1.05 ,$2.19 ,$1.81 ,$2.12 ,$2.36 
Celery,8/6/2017,$0.34 ,$1.71 ,$1.47 ,$1.94 ,$2.11 
Cauliflower,8/6/2017,$0.66 ,$2.95 ,$2.97 ,$3.63 ,$3.11 
Carrots,8/6/2017,$0.27 ,$0.95 ,$0.82 ,$0.99 ,$1.07 
Cantaloupe,8/6/2017,$0.52 ,$1.75 ,$2.19 ,$3.11 ,$2.48 
Broccoli Crowns,8/6/2017,$0.55 ,$1.71 ,$2.09 ,$1.94 ,$1.81 
Broccoli Bunches,8/6/2017,$0.44 ,$1.67 ,$1.30 ,$1.39 ,$2.47 
Avocados,8/6/2017,$1.60 ,$1.31 ,$1.75 ,$1.44 ,$2.00 
Tomatoes,7/30/2017,$0.56 ,$1.59 ,$1.16 ,$1.74 ,$2.11 
Strawberries,7/30/2017,$0.84 ,$2.24 ,$2.24 ,$2.87 ,$2.49 
Romaine Lettuce,7/30/2017,$0.31 ,$1.46 ,$1.98 ,$1.39 ,$2.16 
Red Leaf Lettuce,7/30/2017,$0.29 ,$1.52 ,$1.71 ,$1.39 ,$2.11 
Potatoes,7/30/2017,$1.30 ,$4.47 ,$4.14 ,$3.99 ,$4.44 
Plums,7/30/2017,$0.89 ,$1.72 ,$1.92 ,$2.12 ,$2.21 
Peaches,7/30/2017,$0.94 ,$1.75 ,$1.84 ,$2.12 ,$2.39 
Oranges,7/30/2017,$0.58 ,$1.61 ,$1.43 ,$1.49 ,$2.05 
Nectarines,7/30/2017,$0.96 ,$1.45 ,$1.84 ,$2.24 ,$2.16 
Iceberg Lettuce,7/30/2017,$0.38 ,$1.24 ,$1.31 ,$1.44 ,$1.69 
Honeydews,7/30/2017,$1.08 ,$4.27 ,$3.24 ,$3.85 ,$4.49 
Green Leaf Lettuce,7/30/2017,$0.29 ,$1.75 ,$1.67 ,$1.39 ,$1.93 
Flame Grapes,7/30/2017,$1.05 ,$1.82 ,$1.81 ,$2.12 ,$1.99 
Celery,7/30/2017,$0.34 ,$1.94 ,$1.94 ,$1.94 ,$2.11 
Cauliflower,7/30/2017,$0.72 ,$2.95 ,$2.97 ,$3.18 ,$3.24 
Carrots,7/30/2017,$0.27 ,$0.95 ,$0.82 ,$0.99 ,$1.32 
Cantaloupe,7/30/2017,$0.73 ,$2.08 ,$2.19 ,$2.61 ,$2.99 
Broccoli Crowns,7/30/2017,$0.53 ,$1.71 ,$1.93 ,$1.82 ,$1.60 
Broccoli Bunches,7/30/2017,$0.45 ,$1.61 ,$1.30 ,$1.39 ,$1.84 
Avocados,7/30/2017,$1.39 ,$1.41 ,$1.67 ,$1.59 ,$1.82 
Tomatoes,7/23/2017,$0.62 ,$1.59 ,$1.36 ,$1.64 ,$2.11 
Strawberries,7/23/2017,$0.72 ,$2.47 ,$1.99 ,$2.75 ,$3.24 
Romaine Lettuce,7/23/2017,$0.32 ,$1.96 ,$1.78 ,$1.39 ,$1.94 
Red Leaf Lettuce,7/23/2017,$0.30 ,$1.52 ,$1.75 ,$1.39 ,$1.92 
Potatoes,7/23/2017,$1.20 ,$3.97 ,$4.14 ,$3.99 ,$5.72 
Plums,7/23/2017,$0.93 ,$1.17 ,$1.86 ,$2.12 ,$2.29 
Peaches,7/23/2017,$0.94 ,$1.20 ,$2.01 ,$1.99 ,$2.01 
Oranges,7/23/2017,$0.58 ,$1.61 ,$1.49 ,$1.49 ,$1.90 
Nectarines,7/23/2017,$0.96 ,$1.30 ,$2.01 ,$1.99 ,$2.54 
Iceberg Lettuce,7/23/2017,$0.48 ,$1.24 ,$1.31 ,$1.39 ,$1.69 
Honeydews,7/23/2017,$1.17 ,$3.74 ,$3.24 ,$3.85 ,$5.24 
Green Leaf Lettuce,7/23/2017,$0.29 ,$1.99 ,$1.33 ,$1.39 ,$1.97 
Flame Grapes,7/23/2017,$1.02 ,$2.02 ,$1.81 ,$1.62 ,$2.24 
Celery,7/23/2017,$0.43 ,$2.08 ,$1.56 ,$1.94 ,$2.04 
Cauliflower,7/23/2017,$0.70 ,$2.95 ,$2.15 ,$3.38 ,$3.11 
Carrots,7/23/2017,$0.27 ,$0.95 ,$0.82 ,$0.99 ,$1.07 
Cantaloupe,7/23/2017,$0.75 ,$2.37 ,$2.44 ,$2.61 ,$2.97 
Broccoli Crowns,7/23/2017,$0.59 ,$1.87 ,$2.08 ,$1.94 ,$1.98 
Broccoli Bunches,7/23/2017,$0.51 ,$1.78 ,$1.31 ,$1.39 ,$1.94 
Avocados,7/23/2017,$1.09 ,$1.39 ,$1.67 ,$1.75 ,$1.65 
Tomatoes,7/16/2017,$0.58 ,$1.59 ,$1.36 ,$1.64 ,$1.91 
Strawberries,7/16/2017,$0.72 ,$2.55 ,$2.87 ,$2.37 ,$2.82 
Potatoes,7/16/2017,$1.00 ,$5.47 ,$4.14 ,$3.99 ,$5.21 
Plums,7/16/2017,$0.93 ,$1.81 ,$1.79 ,$1.99 ,$2.21 
Peaches,7/16/2017,$0.94 ,$1.69 ,$1.89 ,$1.99 ,$2.26 
Oranges,7/16/2017,$0.58 ,$1.73 ,$1.41 ,$1.74 ,$1.83 
Nectarines,7/16/2017,$0.92 ,$1.82 ,$1.89 ,$1.62 ,$2.04 
Red Leaf Lettuce,7/16/2017,$0.33 ,$1.52 ,$1.41 ,$1.39 ,$1.82 
Green Leaf Lettuce,7/16/2017,$0.33 ,$1.75 ,$1.38 ,$1.39 ,$1.66 
Romaine Lettuce,7/16/2017,$0.30 ,$1.96 ,$1.66 ,$1.39 ,$2.05 
Iceberg Lettuce,7/16/2017,$0.52 ,$1.24 ,$1.16 ,$1.44 ,$1.69 
Honeydews,7/16/2017,$1.58 ,$3.61 ,$3.49 ,$4.82 ,$4.99 
Flame Grapes,7/16/2017,$1.05 ,$2.01 ,$2.19 ,$2.12 ,$2.09 
Celery,7/16/2017,$0.57 ,$1.94 ,$2.02 ,$1.89 ,$2.29 
Cauliflower,7/16/2017,$0.84 ,$2.95 ,$3.22 ,$3.38 ,$3.49 
Carrots,7/16/2017,$0.27 ,$0.95 ,$0.82 ,$0.99 ,$1.14 
Cantaloupe,7/16/2017,$0.70 ,$2.15 ,$2.56 ,$2.99 ,$3.24 
Broccoli Crowns,7/16/2017,$0.57 ,$2.04 ,$1.81 ,$1.82 ,$1.81 
Broccoli Bunches,7/16/2017,$0.51 ,$1.61 ,$1.30 ,$1.39 ,$1.69 
Avocados,7/16/2017,$1.03 ,$1.39 ,$1.54 ,$1.82 ,$1.82 
Tomatoes,7/9/2017,$0.40 ,$1.48 ,$1.36 ,$1.64 ,$1.91 
Strawberries,7/9/2017,$0.78 ,$2.82 ,$2.32 ,$2.99 ,$2.59 
Potatoes,7/9/2017,$1.00 ,$3.96 ,$4.07 ,$3.99 ,$5.22 
Plums,7/9/2017,$1.00 ,$1.59 ,$2.11 ,$1.49 ,$2.11 
Peaches,7/9/2017,$0.94 ,$1.45 ,$2.36 ,$1.24 ,$2.04 
Oranges,7/9/2017,$0.58 ,$1.64 ,$1.37 ,$1.66 ,$1.99 
Nectarines,7/9/2017,$0.92 ,$1.70 ,$2.36 ,$1.12 ,$2.04 
Red Leaf Lettuce,7/9/2017,$0.31 ,$1.52 ,$1.48 ,$1.39 ,$1.92 
Green Leaf Lettuce,7/9/2017,$0.32 ,$1.75 ,$1.42 ,$1.39 ,$1.87 
Romaine Lettuce,7/9/2017,$0.35 ,$1.96 ,$1.93 ,$1.39 ,$1.94 
Iceberg Lettuce,7/9/2017,$0.61 ,$1.24 ,$1.29 ,$1.26 ,$1.69 
Honeydews,7/9/2017,$2.58 ,$3.92 ,$2.99 ,$4.35 ,$5.99 
Flame Grapes,7/9/2017,$1.16 ,$2.27 ,$2.36 ,$2.49 ,$2.09 
Celery,7/9/2017,$0.71 ,$1.80 ,$2.08 ,$1.89 ,$2.21 
Cauliflower,7/9/2017,$0.92 ,$2.88 ,$3.27 ,$3.88 ,$2.86 
Carrots,7/9/2017,$0.27 ,$0.95 ,$0.84 ,$0.99 ,$1.07 
Cantaloupe,7/9/2017,$1.08 ,$2.24 ,$2.61 ,$3.11 ,$3.21 
Broccoli Crowns,7/9/2017,$0.55 ,$2.04 ,$1.79 ,$1.94 ,$1.97 
Broccoli Bunches,7/9/2017,$0.51 ,$1.61 ,$0.99 ,$1.39 ,$1.99 
Avocados,7/9/2017,$1.03 ,$1.29 ,$1.45 ,$1.75 ,$1.74 
Tomatoes,7/2/2017,$0.40 ,$1.32 ,$1.43 ,$1.57 ,$1.99 
Strawberries,7/2/2017,$1.09 ,$2.65 ,$1.72 ,$2.50 ,$2.32 
Potatoes,7/2/2017,$1.00 ,$3.96 ,$4.07 ,$3.99 ,$4.72 
Plums,7/2/2017,$1.18 ,$1.99 ,$2.11 ,$1.99 ,$2.49 
Peaches,7/2/2017,$0.94 ,$2.49 ,$1.74 ,$2.12 ,$2.04 
Oranges,7/2/2017,$0.58 ,$1.65 ,$1.34 ,$1.49 ,$1.89 
